epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,1310.5,0.36892,0.26228,0.81439,0.99384,0.98527,0.99377,0.92632,0.35175,0.22621,0.79727,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934
60,1330.75,0.361,0.25377,0.81824,0.9874,0.98903,0.99373,0.92558,0.35179,0.22831,0.79784,0.00256676,0.000855588,0.00256676,0.000855588,0.00256676,0.000855588,0.00256676,0.000855588
61,1351.15,0.3696,0.26343,0.81148,0.97657,0.99265,0.99355,0.92862,0.3482,0.23009,0.79694,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
62,1372.16,0.36706,0.25711,0.81664,0.99914,0.98236,0.99383,0.92977,0.34624,0.22572,0.79708,0.00248425,0.000828082,0.00248425,0.000828082,0.00248425,0.000828082,0.00248425,0.000828082
63,1392.32,0.36234,0.25002,0.8081,0.99512,0.98727,0.99468,0.93741,0.33811,0.21221,0.79686,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329
64,1412.58,0.35503,0.25089,0.81412,0.99673,0.98598,0.99467,0.92699,0.33659,0.22056,0.79056,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577
65,1434.14,0.35675,0.25189,0.81666,0.99189,0.98367,0.99448,0.92974,0.33195,0.21118,0.78895,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
66,1453.84,0.34825,0.24713,0.81449,0.99675,0.98538,0.99464,0.93459,0.33107,0.21749,0.79069,0.00231921,0.000773071,0.00231921,0.000773071,0.00231921,0.000773071,0.00231921,0.000773071
67,1473.48,0.35035,0.25013,0.81381,0.99789,0.98527,0.99441,0.92935,0.33078,0.21161,0.7889,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
68,1492.94,0.34491,0.24293,0.81268,0.99602,0.98451,0.99466,0.92834,0.33129,0.21284,0.78873,0.0022367,0.000745566,0.0022367,0.000745566,0.0022367,0.000745566,0.0022367,0.000745566
69,1512.63,0.35759,0.24749,0.81141,0.994,0.98409,0.99433,0.93565,0.32689,0.20881,0.78905,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813
70,1532.01,0.35034,0.25149,0.81606,0.98624,0.99126,0.9942,0.92941,0.33203,0.21916,0.79299,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806
71,1552.81,0.34317,0.24042,0.81287,0.98859,0.99392,0.99451,0.93361,0.33111,0.21106,0.79509,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307
72,1573.74,0.33823,0.2389,0.80911,0.9916,0.98406,0.99439,0.93335,0.32965,0.21157,0.79428,0.00207166,0.000690555,0.00207166,0.000690555,0.00207166,0.000690555,0.00207166,0.000690555
73,1593.87,0.3425,0.23614,0.8119,0.99441,0.98656,0.99279,0.93353,0.3212,0.20122,0.79092,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
74,1616.74,0.34737,0.23969,0.81149,0.99908,0.98466,0.99495,0.93692,0.32537,0.21721,0.79467,0.00198915,0.000663049,0.00198915,0.000663049,0.00198915,0.000663049,0.00198915,0.000663049
75,1638.93,0.33255,0.23398,0.8095,0.99078,0.99099,0.99482,0.93676,0.32346,0.20039,0.79168,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297
76,1659.62,0.33822,0.23613,0.81271,0.99306,0.98673,0.99471,0.93804,0.32033,0.19918,0.79031,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544
77,1680.64,0.3429,0.23577,0.81067,0.99765,0.98581,0.9949,0.93554,0.32232,0.19981,0.78889,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791
78,1702.15,0.33612,0.24005,0.81119,0.99743,0.9895,0.99495,0.93551,0.33046,0.20738,0.79451,0.00182411,0.000608038,0.00182411,0.000608038,0.00182411,0.000608038,0.00182411,0.000608038
79,1723.04,0.33476,0.23469,0.81201,0.99032,0.99448,0.99493,0.93539,0.32338,0.19941,0.79152,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
80,1743.3,0.33505,0.23238,0.81014,0.99248,0.99351,0.99482,0.9389,0.32551,0.2098,0.7786,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533
81,1763.42,0.32728,0.23073,0.81374,0.9924,0.98702,0.99464,0.93774,0.31259,0.20559,0.78626,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
82,1786.16,0.33188,0.2278,0.81519,0.99584,0.98696,0.99475,0.93996,0.31183,0.20041,0.79264,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027,0.00165908,0.000553027
83,1806.71,0.3232,0.22687,0.80939,0.98858,0.99584,0.99488,0.9399,0.31228,0.19674,0.79175,0.00161782,0.000539275,0.00161782,0.000539275,0.00161782,0.000539275,0.00161782,0.000539275
84,1827.26,0.31884,0.22305,0.80451,0.98553,0.99663,0.9948,0.93718,0.32058,0.19835,0.79461,0.00157657,0.000525522,0.00157657,0.000525522,0.00157657,0.000525522,0.00157657,0.000525522
85,1848.91,0.32563,0.22273,0.80711,0.99048,0.99627,0.99495,0.93875,0.31748,0.19716,0.79544,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
86,1869.44,0.32523,0.22944,0.81169,0.99378,0.99251,0.99481,0.94192,0.31047,0.18914,0.79444,0.00149405,0.000498016,0.00149405,0.000498016,0.00149405,0.000498016,0.00149405,0.000498016
87,1889.89,0.31595,0.22061,0.80982,0.99729,0.9855,0.99472,0.94207,0.31436,0.19345,0.79386,0.00145279,0.000484263,0.00145279,0.000484263,0.00145279,0.000484263,0.00145279,0.000484263
88,1910.3,0.315,0.22064,0.80753,0.9891,0.99103,0.99458,0.93916,0.3054,0.18951,0.78973,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511,0.00141153,0.000470511
89,1931.4,0.31903,0.2229,0.80319,0.98911,0.99291,0.9948,0.94146,0.30586,0.19094,0.7884,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
90,1952.5,0.3154,0.22328,0.81027,0.99093,0.99262,0.9949,0.94049,0.3075,0.19569,0.78821,0.00132902,0.000443005,0.00132902,0.000443005,0.00132902,0.000443005,0.00132902,0.000443005
91,1973.78,0.30908,0.22038,0.80753,0.99244,0.99276,0.99483,0.94416,0.30112,0.18451,0.78958,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
92,1995.12,0.31245,0.21468,0.80402,0.99073,0.99488,0.99483,0.94252,0.30041,0.18438,0.79325,0.0012465,0.0004155,0.0012465,0.0004155,0.0012465,0.0004155,0.0012465,0.0004155
93,2015.51,0.31106,0.21789,0.80678,0.99412,0.99363,0.99493,0.94105,0.29942,0.18535,0.79012,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747
94,2035.22,0.3091,0.21613,0.80526,0.99418,0.98958,0.99464,0.94142,0.29947,0.18449,0.78897,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994,0.00116398,0.000387994
95,2054.62,0.30887,0.21378,0.80993,0.99691,0.98529,0.9948,0.94448,0.29792,0.18099,0.79353,0.00112272,0.000374242,0.00112272,0.000374242,0.00112272,0.000374242,0.00112272,0.000374242
96,2074.09,0.31298,0.21499,0.80396,0.99417,0.98979,0.99467,0.94415,0.30028,0.18291,0.79168,0.00108147,0.000360489,0.00108147,0.000360489,0.00108147,0.000360489,0.00108147,0.000360489
97,2093.56,0.30516,0.21032,0.803,0.9986,0.98738,0.99484,0.94677,0.2951,0.18144,0.79072,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
98,2113.08,0.30774,0.21445,0.80632,0.99884,0.98856,0.99487,0.94278,0.29773,0.18299,0.79085,0.00099895,0.000332983,0.00099895,0.000332983,0.00099895,0.000332983,0.00099895,0.000332983
99,2132.45,0.30432,0.21319,0.80888,0.99417,0.98993,0.9948,0.94684,0.29359,0.17809,0.79105,0.000957692,0.000319231,0.000957692,0.000319231,0.000957692,0.000319231,0.000957692,0.000319231
100,2151.97,0.30034,0.20887,0.80724,0.99248,0.99253,0.99481,0.94634,0.2928,0.17819,0.79238,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478,0.000916433,0.000305478
101,2171.39,0.29838,0.20872,0.80606,1,0.98606,0.99492,0.94528,0.29211,0.17655,0.79059,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725
