epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,4370.61,0.39622,0.25657,0.82559,0.99064,0.98432,0.99311,0.93525,0.32916,0.19687,0.78515,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4420.26,0.39749,0.25541,0.82859,0.98968,0.98419,0.99337,0.93648,0.32674,0.19547,0.78581,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4469.95,0.39551,0.2548,0.82384,0.98461,0.98685,0.99344,0.94008,0.32487,0.19877,0.79673,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,4519.67,0.39489,0.25424,0.82744,0.98207,0.99112,0.99329,0.93578,0.32721,0.19542,0.79559,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,4569.57,0.3887,0.24835,0.82346,0.99166,0.98165,0.9935,0.94045,0.32106,0.18986,0.79562,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,4619.34,0.39377,0.25363,0.82587,0.9884,0.98412,0.99312,0.93713,0.32154,0.19103,0.79457,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,4669.2,0.38952,0.24876,0.82501,0.99081,0.98431,0.99319,0.93973,0.31788,0.18656,0.79255,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,4718.89,0.39219,0.25033,0.82457,0.99331,0.98219,0.99364,0.94178,0.31544,0.19004,0.79074,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,4768.74,0.38903,0.25191,0.82374,0.98625,0.98853,0.99355,0.94138,0.31455,0.19205,0.78816,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,4818.39,0.38723,0.25114,0.824,0.99284,0.98603,0.99348,0.93759,0.31771,0.19113,0.79417,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,4868.16,0.37926,0.2433,0.82295,0.99187,0.9878,0.99351,0.94048,0.31928,0.18837,0.79582,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,4917.77,0.38816,0.24766,0.82528,0.99446,0.98697,0.99368,0.93806,0.32465,0.19059,0.79635,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,4967.44,0.38841,0.24709,0.82379,0.99231,0.9866,0.99348,0.93944,0.31637,0.19106,0.79135,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,5017.12,0.38439,0.24069,0.82181,0.99666,0.98548,0.99348,0.94208,0.31381,0.18679,0.79017,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,5069.46,0.38082,0.24331,0.82393,0.99042,0.98869,0.99365,0.94418,0.31222,0.18569,0.78868,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
